Level,Description,SeriesRefSNDQ,Quarter,Weight,Amount
Industry groups,Agriculture,SG01RSC04B01AA1,2020Q3,0.0436578,2408.608
Industry groups,Forestry and logging,SG01RSC04B01AA2,2020Q3,0.0046498,406.607
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2020Q3,0.0088361,618.760
Industry groups,Mining,SG01RSC04B01BB1,2020Q3,0.0067738,620.095
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2020Q3,0.0329066,1948.613
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2020Q3,0.0020873,164.232
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2020Q3,0.0070101,560.267
Industry groups,Printing,SG01RSC04B01CC4,2020Q3,0.0017051,125.625
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2020Q3,0.0157308,921.928
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2020Q3,0.0035982,298.720
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2020Q3,0.0102931,686.864
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2020Q3,0.0181076,1176.909
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2020Q3,0.0024897,212.444
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2020Q3,0.0260828,1760.617
Industry groups,Construction,SG01RSC04B01EE1,2020Q3,0.0710192,5003.661
Industry groups,Wholesale trade,SG01RSC04B01FF1,2020Q3,0.0486533,3365.259
Industry groups,Retail trade,SG01RSC04B01GH1,2020Q3,0.0464502,3547.455
Industry groups,Accommodation services,SG01RSC04B01GH2,2020Q3,0.0177224,1404.912
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2020Q3,0.0357450,2285.858
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2020Q3,0.0220671,2504.385
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2020Q3,0.0552498,3766.233
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2020Q3,0.0752626,4196.559
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2020Q3,0.0776375,4882.615
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2020Q3,0.0854349,5752.248
Industry groups,Administrative and support services,SG01RSC04B01MN2,2020Q3,0.0171754,1199.989
Industry groups,Local Government administration,SG01RSC04B01OO1,2020Q3,0.0048234,359.075
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2020Q3,0.0385297,2676.216
Industry groups,Education and training,SG01RSC04B01PP1,2020Q3,0.0442308,2376.491
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2020Q3,0.0651112,4003.126
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2020Q3,0.0119914,881.663
Industry groups,Other services,SG01RSC04B01RS2,2020Q3,0.0185174,1090.538
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2020Q3,0.0804499,4920.261
Industry groups,Agriculture,SG01RSC04B01AA1,2020Q4,0.0436578,2365.067
Industry groups,Forestry and logging,SG01RSC04B01AA2,2020Q4,0.0046498,407.062
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2020Q4,0.0088361,597.868
Industry groups,Mining,SG01RSC04B01BB1,2020Q4,0.0067738,627.464
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2020Q4,0.0329066,1944.709
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2020Q4,0.0020873,135.284
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2020Q4,0.0070101,577.882
Industry groups,Printing,SG01RSC04B01CC4,2020Q4,0.0017051,132.867
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2020Q4,0.0157308,906.219
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2020Q4,0.0035982,291.609
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2020Q4,0.0102931,683.919
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2020Q4,0.0181076,1259.563
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2020Q4,0.0024897,182.987
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2020Q4,0.0260828,1774.702
Industry groups,Construction,SG01RSC04B01EE1,2020Q4,0.0710192,4659.117
Industry groups,Wholesale trade,SG01RSC04B01FF1,2020Q4,0.0486533,3306.690
Industry groups,Retail trade,SG01RSC04B01GH1,2020Q4,0.0464502,3452.187
Industry groups,Accommodation services,SG01RSC04B01GH2,2020Q4,0.0177224,1375.014
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2020Q4,0.0357450,2367.552
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2020Q4,0.0220671,2633.950
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2020Q4,0.0552498,3795.320
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2020Q4,0.0752626,4255.008
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2020Q4,0.0776375,4951.447
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2020Q4,0.0854349,5777.362
Industry groups,Administrative and support services,SG01RSC04B01MN2,2020Q4,0.0171754,1236.564
Industry groups,Local Government administration,SG01RSC04B01OO1,2020Q4,0.0048234,357.696
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2020Q4,0.0385297,2702.983
Industry groups,Education and training,SG01RSC04B01PP1,2020Q4,0.0442308,2407.254
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2020Q4,0.0651112,4091.557
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2020Q4,0.0119914,929.386
Industry groups,Other services,SG01RSC04B01RS2,2020Q4,0.0185174,1210.346
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2020Q4,0.0804499,4858.275
Industry groups,Agriculture,SG01RSC04B01AA1,2021Q1,0.0436578,2382.185
Industry groups,Forestry and logging,SG01RSC04B01AA2,2021Q1,0.0046498,410.730
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2021Q1,0.0088361,603.883
Industry groups,Mining,SG01RSC04B01BB1,2021Q1,0.0067738,594.494
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2021Q1,0.0329066,1949.542
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2021Q1,0.0020873,159.858
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2021Q1,0.0070101,580.841
Industry groups,Printing,SG01RSC04B01CC4,2021Q1,0.0017051,130.898
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2021Q1,0.0157308,868.967
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2021Q1,0.0035982,300.047
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2021Q1,0.0102931,683.576
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2021Q1,0.0181076,1365.493
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2021Q1,0.0024897,192.253
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2021Q1,0.0260828,1765.580
Industry groups,Construction,SG01RSC04B01EE1,2021Q1,0.0710192,4712.936
Industry groups,Wholesale trade,SG01RSC04B01FF1,2021Q1,0.0486533,3431.869
Industry groups,Retail trade,SG01RSC04B01GH1,2021Q1,0.0464502,3549.677
Industry groups,Accommodation services,SG01RSC04B01GH2,2021Q1,0.0177224,1351.763
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2021Q1,0.0357450,2364.227
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2021Q1,0.0220671,2742.707
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2021Q1,0.0552498,3735.509
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2021Q1,0.0752626,4254.409
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2021Q1,0.0776375,4987.762
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2021Q1,0.0854349,5910.625
Industry groups,Administrative and support services,SG01RSC04B01MN2,2021Q1,0.0171754,1317.636
Industry groups,Local Government administration,SG01RSC04B01OO1,2021Q1,0.0048234,360.327
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2021Q1,0.0385297,2760.143
Industry groups,Education and training,SG01RSC04B01PP1,2021Q1,0.0442308,2478.680
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2021Q1,0.0651112,4196.091
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2021Q1,0.0119914,896.789
Industry groups,Other services,SG01RSC04B01RS2,2021Q1,0.0185174,1184.182
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2021Q1,0.0804499,5381.409
Industry groups,Agriculture,SG01RSC04B01AA1,2021Q2,0.0456572,2395.107
Industry groups,Forestry and logging,SG01RSC04B01AA2,2021Q2,0.0041108,414.754
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2021Q2,0.0080346,604.969
Industry groups,Mining,SG01RSC04B01BB1,2021Q2,0.0068316,580.214
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2021Q2,0.0286865,1913.373
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2021Q2,0.0020359,159.161
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2021Q2,0.0074903,573.100
Industry groups,Printing,SG01RSC04B01CC4,2021Q2,0.0017606,131.624
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2021Q2,0.0146125,899.248
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2021Q2,0.0037743,306.169
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2021Q2,0.0102226,695.144
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2021Q2,0.0169084,1331.190
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2021Q2,0.0026211,206.644
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2021Q2,0.0269336,1779.115
Industry groups,Construction,SG01RSC04B01EE1,2021Q2,0.0678191,4524.484
Industry groups,Wholesale trade,SG01RSC04B01FF1,2021Q2,0.0529593,3516.777
Industry groups,Retail trade,SG01RSC04B01GH1,2021Q2,0.0473647,3655.537
Industry groups,Accommodation services,SG01RSC04B01GH2,2021Q2,0.0185142,1615.565
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2021Q2,0.0365972,2487.745
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2021Q2,0.0215019,2786.916
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2021Q2,0.0564752,3733.162
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2021Q2,0.0725964,4305.417
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2021Q2,0.0759615,5046.470
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2021Q2,0.0886062,6102.939
Industry groups,Administrative and support services,SG01RSC04B01MN2,2021Q2,0.0186039,1404.711
Industry groups,Local Government administration,SG01RSC04B01OO1,2021Q2,0.0046305,362.039
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2021Q2,0.0377160,2745.518
Industry groups,Education and training,SG01RSC04B01PP1,2021Q2,0.0431921,2467.588
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2021Q2,0.0659924,4269.359
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2021Q2,0.0114274,957.486
Industry groups,Other services,SG01RSC04B01RS2,2021Q2,0.0189517,1283.377
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2021Q2,0.0814105,5146.035
Industry groups,Agriculture,SG01RSC04B01AA1,2021Q3,0.0456572,2334.896
Industry groups,Forestry and logging,SG01RSC04B01AA2,2021Q3,0.0041108,397.452
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2021Q3,0.0080346,602.145
Industry groups,Mining,SG01RSC04B01BB1,2021Q3,0.0068316,530.938
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2021Q3,0.0286865,1877.836
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2021Q3,0.0020359,144.385
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2021Q3,0.0074903,494.237
Industry groups,Printing,SG01RSC04B01CC4,2021Q3,0.0017606,119.688
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2021Q3,0.0146125,856.276
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2021Q3,0.0037743,236.460
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2021Q3,0.0102226,610.589
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2021Q3,0.0169084,1198.370
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2021Q3,0.0026211,180.837
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2021Q3,0.0269336,1779.713
Industry groups,Construction,SG01RSC04B01EE1,2021Q3,0.0678191,4033.444
Industry groups,Wholesale trade,SG01RSC04B01FF1,2021Q3,0.0529593,3457.354
Industry groups,Retail trade,SG01RSC04B01GH1,2021Q3,0.0473647,3354.972
Industry groups,Accommodation services,SG01RSC04B01GH2,2021Q3,0.0185142,1192.616
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2021Q3,0.0365972,2383.375
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2021Q3,0.0215019,2739.775
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2021Q3,0.0564752,3743.493
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2021Q3,0.0725964,4298.266
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2021Q3,0.0759615,5121.740
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2021Q3,0.0886062,6078.255
Industry groups,Administrative and support services,SG01RSC04B01MN2,2021Q3,0.0186039,1317.714
Industry groups,Local Government administration,SG01RSC04B01OO1,2021Q3,0.0046305,368.371
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2021Q3,0.0377160,2797.255
Industry groups,Education and training,SG01RSC04B01PP1,2021Q3,0.0431921,2345.500
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2021Q3,0.0659924,4213.030
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2021Q3,0.0114274,806.021
Industry groups,Other services,SG01RSC04B01RS2,2021Q3,0.0189517,1096.398
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2021Q3,0.0814105,4874.718
Industry groups,Agriculture,SG01RSC04B01AA1,2021Q4,0.0456572,2288.911
Industry groups,Forestry and logging,SG01RSC04B01AA2,2021Q4,0.0041108,395.045
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2021Q4,0.0080346,619.307
Industry groups,Mining,SG01RSC04B01BB1,2021Q4,0.0068316,576.944
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2021Q4,0.0286865,1874.196
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2021Q4,0.0020359,170.999
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2021Q4,0.0074903,570.913
Industry groups,Printing,SG01RSC04B01CC4,2021Q4,0.0017606,127.326
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2021Q4,0.0146125,872.745
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2021Q4,0.0037743,307.173
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2021Q4,0.0102226,698.696
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2021Q4,0.0169084,1354.655
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2021Q4,0.0026211,200.815
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2021Q4,0.0269336,1793.822
Industry groups,Construction,SG01RSC04B01EE1,2021Q4,0.0678191,4353.449
Industry groups,Wholesale trade,SG01RSC04B01FF1,2021Q4,0.0529593,3625.117
Industry groups,Retail trade,SG01RSC04B01GH1,2021Q4,0.0473647,3730.656
Industry groups,Accommodation services,SG01RSC04B01GH2,2021Q4,0.0185142,1222.496
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2021Q4,0.0365972,2436.003
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2021Q4,0.0215019,2871.792
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2021Q4,0.0564752,3729.925
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2021Q4,0.0725964,4364.454
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2021Q4,0.0759615,5169.141
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2021Q4,0.0886062,6533.969
Industry groups,Administrative and support services,SG01RSC04B01MN2,2021Q4,0.0186039,1330.413
Industry groups,Local Government administration,SG01RSC04B01OO1,2021Q4,0.0046305,372.914
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2021Q4,0.0377160,2847.397
Industry groups,Education and training,SG01RSC04B01PP1,2021Q4,0.0431921,2304.096
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2021Q4,0.0659924,4337.957
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2021Q4,0.0114274,775.580
Industry groups,Other services,SG01RSC04B01RS2,2021Q4,0.0189517,1217.327
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2021Q4,0.0814105,5079.400
Industry groups,Agriculture,SG01RSC04B01AA1,2022Q1,0.0456572,2337.852
Industry groups,Forestry and logging,SG01RSC04B01AA2,2022Q1,0.0041108,388.897
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2022Q1,0.0080346,633.589
Industry groups,Mining,SG01RSC04B01BB1,2022Q1,0.0068316,557.328
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2022Q1,0.0286865,1853.499
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2022Q1,0.0020359,157.715
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2022Q1,0.0074903,552.111
Industry groups,Printing,SG01RSC04B01CC4,2022Q1,0.0017606,126.799
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2022Q1,0.0146125,894.684
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2022Q1,0.0037743,308.328
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2022Q1,0.0102226,706.267
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2022Q1,0.0169084,1309.027
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2022Q1,0.0026211,203.219
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2022Q1,0.0269336,1807.502
Industry groups,Construction,SG01RSC04B01EE1,2022Q1,0.0678191,4317.310
Industry groups,Wholesale trade,SG01RSC04B01FF1,2022Q1,0.0529593,3660.586
Industry groups,Retail trade,SG01RSC04B01GH1,2022Q1,0.0473647,3629.698
Industry groups,Accommodation services,SG01RSC04B01GH2,2022Q1,0.0185142,1221.276
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2022Q1,0.0365972,2374.143
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2022Q1,0.0215019,2834.602
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2022Q1,0.0564752,3699.432
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2022Q1,0.0725964,4343.182
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2022Q1,0.0759615,5214.711
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2022Q1,0.0886062,6514.094
Industry groups,Administrative and support services,SG01RSC04B01MN2,2022Q1,0.0186039,1390.822
Industry groups,Local Government administration,SG01RSC04B01OO1,2022Q1,0.0046305,374.533
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2022Q1,0.0377160,2845.712
Industry groups,Education and training,SG01RSC04B01PP1,2022Q1,0.0431921,2341.400
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2022Q1,0.0659924,4387.596
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2022Q1,0.0114274,775.350
Industry groups,Other services,SG01RSC04B01RS2,2022Q1,0.0189517,1235.378
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2022Q1,0.0814105,5096.255
Industry groups,Agriculture,SG01RSC04B01AA1,2022Q2,0.0456572,2402.804
Industry groups,Forestry and logging,SG01RSC04B01AA2,2022Q2,0.0041108,385.712
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2022Q2,0.0080346,639.421
Industry groups,Mining,SG01RSC04B01BB1,2022Q2,0.0068316,520.474
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2022Q2,0.0286865,1953.648
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2022Q2,0.0020359,161.899
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2022Q2,0.0074903,552.511
Industry groups,Printing,SG01RSC04B01CC4,2022Q2,0.0017606,134.172
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2022Q2,0.0146125,493.099
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2022Q2,0.0037743,302.097
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2022Q2,0.0102226,682.138
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2022Q2,0.0169084,1293.637
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2022Q2,0.0026211,194.744
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2022Q2,0.0269336,1794.696
Industry groups,Construction,SG01RSC04B01EE1,2022Q2,0.0678191,4292.789
Industry groups,Wholesale trade,SG01RSC04B01FF1,2022Q2,0.0529593,3764.475
Industry groups,Retail trade,SG01RSC04B01GH1,2022Q2,0.0473647,3520.529
Industry groups,Accommodation services,SG01RSC04B01GH2,2022Q2,0.0185142,1561.077
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2022Q2,0.0365972,2587.463
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2022Q2,0.0215019,2859.947
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2022Q2,0.0564752,3789.259
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2022Q2,0.0725964,4305.054
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2022Q2,0.0759615,5255.971
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2022Q2,0.0886062,6564.890
Industry groups,Administrative and support services,SG01RSC04B01MN2,2022Q2,0.0186039,1498.126
Industry groups,Local Government administration,SG01RSC04B01OO1,2022Q2,0.0046305,382.005
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2022Q2,0.0377160,2871.358
Industry groups,Education and training,SG01RSC04B01PP1,2022Q2,0.0431921,2320.034
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2022Q2,0.0659924,4339.905
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2022Q2,0.0114274,937.694
Industry groups,Other services,SG01RSC04B01RS2,2022Q2,0.0189517,1255.978
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2022Q2,0.0814105,5317.512
Industry groups,Agriculture,SG01RSC04B01AA1,2022Q3,0.0456572,2403.993
Industry groups,Forestry and logging,SG01RSC04B01AA2,2022Q3,0.0041108,383.961
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2022Q3,0.0080346,639.447
Industry groups,Mining,SG01RSC04B01BB1,2022Q3,0.0068316,509.679
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2022Q3,0.0286865,1950.714
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2022Q3,0.0020359,166.931
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2022Q3,0.0074903,541.739
Industry groups,Printing,SG01RSC04B01CC4,2022Q3,0.0017606,134.771
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2022Q3,0.0146125,463.584
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2022Q3,0.0037743,300.628
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2022Q3,0.0102226,691.048
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2022Q3,0.0169084,1320.908
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2022Q3,0.0026211,198.332
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2022Q3,0.0269336,1858.537
Industry groups,Construction,SG01RSC04B01EE1,2022Q3,0.0678191,4542.879
Industry groups,Wholesale trade,SG01RSC04B01FF1,2022Q3,0.0529593,3787.338
Industry groups,Retail trade,SG01RSC04B01GH1,2022Q3,0.0473647,3519.855
Industry groups,Accommodation services,SG01RSC04B01GH2,2022Q3,0.0185142,1467.626
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2022Q3,0.0365972,2755.085
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2022Q3,0.0215019,2915.034
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2022Q3,0.0564752,3851.962
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2022Q3,0.0725964,4285.876
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2022Q3,0.0759615,5300.842
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2022Q3,0.0886062,6666.382
Industry groups,Administrative and support services,SG01RSC04B01MN2,2022Q3,0.0186039,1617.614
Industry groups,Local Government administration,SG01RSC04B01OO1,2022Q3,0.0046305,391.734
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2022Q3,0.0377160,2866.714
Industry groups,Education and training,SG01RSC04B01PP1,2022Q3,0.0431921,2312.918
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2022Q3,0.0659924,4559.088
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2022Q3,0.0114274,955.474
Industry groups,Other services,SG01RSC04B01RS2,2022Q3,0.0189517,1277.908
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2022Q3,0.0814105,5274.356
Industry groups,Agriculture,SG01RSC04B01AA1,2022Q4,0.0456572,2438.438
Industry groups,Forestry and logging,SG01RSC04B01AA2,2022Q4,0.0041108,379.784
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2022Q4,0.0080346,633.384
Industry groups,Mining,SG01RSC04B01BB1,2022Q4,0.0068316,519.200
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2022Q4,0.0286865,1873.689
